zeo,WSD
CHA,0.26553089183279094
AEL,0.2725424663695251
MFI,0.03822698861667355
LTA,0.1972845867543762
AFI,0.06850887474195684
IWR,0.34695842479458366
BEA,0.07131204262254826
MTW,0.04342379714354793
MEL,0.11538347553059146
LEV,0.07278527678276961
FAU,0.12507626108581596
BEC,0.17735688263645705
FER,0.08601695221537356
ATO,0.11380862092419487
MWW,0.27880370116154707
IMF,0.09425802063526723
AEN,0.09950436967614976
STF,0.25086493768776796
MAZ,0.03023068427745933
AEI,0.5637118905133125
GIS,0.6953267527340031
TON,0.2038589719847223
ITE,0.2914211668703667
NON,0.19066465073664246
MOR,0.15727861777374003
AST,0.13166359012553114
PHI,0.07176086410398647
SAV,0.7206782875791155
UOV,1.415724565366704
ITT,0.5234891646493669
MTT,0.27409683121780964
ITG,0.6214937794249034
CON,0.4758591775671127
NSI,1.1194175363778975
ERI,0.23059783744817763
MTN,0.6277355708749061
MRE,0.4337424037668493
AFR,0.17662176557769382
SWY,0.4950527116413727
LAU,0.42602286404273854
DDR,0.273907653992331
AFX,0.9154535913651406
UFI,0.5927017522699978
ISV,0.4092484257410983
ANA,0.2797087090287758
CLO,0.5614810959868025
OFF,0.08970090931852756
STI,1.1904807632770835
CTH,0.49596028035427664
SFS,0.6734117305810027
AWO,0.1303221190102683
DOH,0.8824865845060099
SOD,0.4084172608298321
STW,0.23944874752754228
UOZ,0.6239539641429526
MEI,0.6463776529036085
ETL,0.4303046538460573
AVE,0.5270145824597521
SZR,0.23403745314562963
JST,1.3953398012834124
IFR,0.6046591160860096
IFW,0.7229615476151745
CGS,0.7270765921389117
PWN,0.05405219557260765
ATS,0.8404570195176702
RTH,0.48624686974279785
EUO,0.25112888788327126
EMT,0.8194666851405505
BPH,0.7209706748590834
AWW,0.6247705399933687
ASV,0.489651762010944
IHW,0.45999362079800643
RWY,1.1616664401741637
LTJ,1.0001399149339452
SFH,1.2414073549581826
NES,0.2413540630671119
IRR,0.24545754356239557
TUN,0.13589912394727788
IWV,0.6702631043160812
EON,0.4740095667330436
STO,0.4031224851509362
ITW,0.46523277109327044
SFW,0.25847292916837106
IFU,0.4591707974496987
VFI,0.4688444599291292
EEI,0.9487525864373509
SFG,1.88963748871185
LOS,0.9501860853579851
SFV,0.5726606522933909
IFO,1.5042175751431401
RTE,1.8497773070026562
MER,1.9446836267263556
AFN,0.36969882476142857
APC,1.117892274499639
SFN,1.2449528669886902
SSY,0.7095719107992037
PUN,1.09035817845569
LTL,1.403560421481374
UOS,0.9077730348859759
CGF,0.8900605268818962
AHT,0.678102025377944
VET,0.1188919115003634
ABW,0.22299256843048176
PWW,0.49931059002390776
